id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_pkb,jumlah_pendapatan,satuan,tahun
39,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PKB POKOK,3802540100000,RUPIAH,2013
40,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PKB DENDA,107194175600,RUPIAH,2013
41,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PKB POKOK,1194007891000,RUPIAH,2013
42,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PKB DENDA,31251677000,RUPIAH,2013
43,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PKB POKOK,149290235000,RUPIAH,2013
44,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PKB DENDA,4056943500,RUPIAH,2013
45,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PKB POKOK,1690983817500,RUPIAH,2013
46,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PKB DENDA,41615413000,RUPIAH,2013
47,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,PKB POKOK,337317773000,RUPIAH,2013
48,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,PKB DENDA,8831548000,RUPIAH,2013
49,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,PKB POKOK,2892782746350,RUPIAH,2013
50,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,PKB DENDA,53986721370,RUPIAH,2013
51,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,PKB POKOK,2975774484000,RUPIAH,2013
52,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,PKB DENDA,55520807000,RUPIAH,2013
53,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,PKB POKOK,2273627705000,RUPIAH,2013
54,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,PKB DENDA,44101903850,RUPIAH,2013
55,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,PKB POKOK,731508846500,RUPIAH,2013
56,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,PKB DENDA,17586617350,RUPIAH,2013
57,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,PKB POKOK,6207054326750,RUPIAH,2013
58,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,PKB DENDA,155114908630,RUPIAH,2013
59,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,PKB POKOK,2393726110500,RUPIAH,2013
60,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,PKB DENDA,66335387000,RUPIAH,2013
61,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,PKB POKOK,1205265042500,RUPIAH,2013
62,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,PKB DENDA,33812952000,RUPIAH,2013
63,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,PKB POKOK,855746193000,RUPIAH,2013
64,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,PKB DENDA,17747696500,RUPIAH,2013
65,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,PKB POKOK,565614183500,RUPIAH,2013
66,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,PKB DENDA,13951977000,RUPIAH,2013
67,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,PKB POKOK,128929531500,RUPIAH,2013
68,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,PKB DENDA,3226100000,RUPIAH,2013
69,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),PKB POKOK,3749984547000,RUPIAH,2014
70,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),PKB DENDA,129562690500,RUPIAH,2014
71,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,PKB POKOK,773041230000,RUPIAH,2014
72,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,PKB DENDA,32898497500,RUPIAH,2014
73,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,PKB POKOK,362993136000,RUPIAH,2014
74,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,PKB DENDA,17035479000,RUPIAH,2014
75,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,PKB POKOK,951126384000,RUPIAH,2014
76,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,PKB DENDA,33412435000,RUPIAH,2014
77,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,PKB POKOK,1598755080000,RUPIAH,2014
78,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,PKB DENDA,43486485000,RUPIAH,2014
79,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,PKB POKOK,1248867627000,RUPIAH,2014
80,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,PKB DENDA,36538167000,RUPIAH,2014
81,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,PKB POKOK,837914021000,RUPIAH,2014
82,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,PKB DENDA,27392984200,RUPIAH,2014
83,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,PKB POKOK,536675372000,RUPIAH,2014
84,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,PKB DENDA,13231681000,RUPIAH,2014
85,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,PKB POKOK,559200259500,RUPIAH,2014
86,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,PKB DENDA,13796221000,RUPIAH,2014
87,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,PKB POKOK,631823232000,RUPIAH,2014
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,PKB DENDA,16766870000,RUPIAH,2014
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,PKB POKOK,1005537036000,RUPIAH,2014
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,PKB DENDA,31215530500,RUPIAH,2014
91,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,PKB POKOK,458341829000,RUPIAH,2014
92,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,PKB DENDA,14964347000,RUPIAH,2014
93,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,PKB POKOK,729225027500,RUPIAH,2014
94,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,PKB DENDA,20136339000,RUPIAH,2014
95,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,PKB POKOK,570253964500,RUPIAH,2014
96,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,PKB DENDA,18165173900,RUPIAH,2014
97,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,PKB POKOK,729912484000,RUPIAH,2014
98,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,PKB DENDA,25743050950,RUPIAH,2014
99,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,PKB POKOK,307096948000,RUPIAH,2014
